trait,relationship,term,parent,ontology
post-harvest physiological deterioration variable 0-10|day 15|Root section|raw root|after harvest,contains,after harvest,Event relations,cxgn_time_ontology
Post-harvest physiological deterioration|day 3|after harvest,contains,after harvest,Event relations,cxgn_time_ontology
Post-harvest physiological deterioration|day 5|after harvest,contains,after harvest,Event relations,cxgn_time_ontology
Post-harvest physiological deterioration|day 7|after harvest,contains,after harvest,Event relations,cxgn_time_ontology
Change in weight after boiling computation percentage|minute 30|after harvest,contains,after harvest,Event relations,cxgn_time_ontology
Change in weight after boiling computation percentage|boiling time 20 minutes|after harvest,contains,after harvest,Event relations,cxgn_time_ontology
Change in weight after boiling|boiling time 20 minutes|after harvest,contains,after harvest,Event relations,cxgn_time_ontology
post-harvest physiological deterioration variable 0-10|day 7|Root section|raw root|after harvest,contains,after harvest,Event relations,cxgn_time_ontology
Change in weight after boiling|boiling time 30 minutes|after harvest,contains,after harvest,Event relations,cxgn_time_ontology
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root|after harvest,contains,after harvest,Event relations,cxgn_time_ontology
dry matter content by specific gravity method|month 3|boiling time 10 minutes|after harvest,contains,after harvest,Event relations,cxgn_time_ontology
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root|after planting,contains,after planting,Event relations,cxgn_time_ontology
post-harvest physiological deterioration variable 0-10|day 7|Root section|raw root|after planting,contains,after planting,Event relations,cxgn_time_ontology
post-harvest physiological deterioration variable 0-10|day 15|Root section|raw root|after planting,contains,after planting,Event relations,cxgn_time_ontology
Cassava mosaic disease severity|at harvesting,contains,at harvesting,Event relations,cxgn_time_ontology
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root|at harvesting,contains,at harvesting,Event relations,cxgn_time_ontology
thrips severity : visual 1-5|at harvesting,contains,at harvesting,Event relations,cxgn_time_ontology
post-harvest physiological deterioration variable 0-10|day 7|Root section|raw root|at harvesting,contains,at harvesting,Event relations,cxgn_time_ontology
Marketable root weight|proximal root section|dried root|at harvesting,contains,at harvesting,Event relations,cxgn_time_ontology
post-harvest physiological deterioration variable 0-10|day 15|Root section|raw root|at harvesting,contains,at harvesting,Event relations,cxgn_time_ontology
dry matter content percentage|month 9|axial root section|boiled root,contains,axial root section,Root section,cxgn_plant_section
time of boiling estimation minute|month 11|boiled root,contains,boiled root,Plant treatment,cxgn_plant_treatment
textural characteristic gradient extrusion g/mm|month 9|boiled root,contains,boiled root,Plant treatment,cxgn_plant_treatment
dry matter content percentage|month 10|boiled root,contains,boiled root,Plant treatment,cxgn_plant_treatment
time of boiling estimation minute|month 13|boiled root,contains,boiled root,Plant treatment,cxgn_plant_treatment
time of boiling estimation minute|month 12|boiled root,contains,boiled root,Plant treatment,cxgn_plant_treatment
Change in weight after boiling computation percentage|month 9|boiled root,contains,boiled root,Plant treatment,cxgn_plant_treatment
dry matter content percentage|month 9|axial root section|boiled root,contains,boiled root,Plant treatment,cxgn_plant_treatment
time of boiling estimation minute|month 8|boiled root,contains,boiled root,Plant treatment,cxgn_plant_treatment
dry matter content percentage|month 8|boiled root,contains,boiled root,Plant treatment,cxgn_plant_treatment
time of boiling estimation minute|month 9|boiled root,contains,boiled root,Plant treatment,cxgn_plant_treatment
time of boiling estimation minute|month 10|boiled root,contains,boiled root,Plant treatment,cxgn_plant_treatment
Change in weight after boiling computation percentage|month 11|boiling time 10 minutes,contains,boiling time 10 minutes,Plant treatment,cxgn_plant_treatment
Change in weight after boiling computation percentage|month 9|boiling time 10 minutes,contains,boiling time 10 minutes,Plant treatment,cxgn_plant_treatment
dry matter content by specific gravity method|month 3|boiling time 10 minutes|after harvest,contains,boiling time 10 minutes,Plant treatment,cxgn_plant_treatment
Change in weight after boiling computation percentage|month 8|boiling time 10 minutes,contains,boiling time 10 minutes,Plant treatment,cxgn_plant_treatment
Change in weight after boiling computation percentage|month 10|boiling time 10 minutes,contains,boiling time 10 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic area under curve extrusion gmm|month 9|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic area under curve extrusion gmm|month 10|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic max force extrusion g|month 9|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic max force extrusion g|month 11|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic max force extrusion g|month 10|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic linear distance extrusion mm|month 9|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic linear distance extrusion mm|month 11|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic linear distance extrusion mm|month 10|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic gradient extrusion g/mm|month 9|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic gradient extrusion g/mm|month 11|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic gradient extrusion g/mm|month 10|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic end force extrusion g|month 9|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic end force extrusion g|month 11|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic end force extrusion g|month 10|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic distance at max force extrusion mm|month 9|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic distance at max force extrusion mm|month 11|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic distance at max force extrusion mm|month 10|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
textural characteristic area under curve extrusion gmm|month 11|boiling time 18 minutes,contains,boiling time 18 minutes,Plant treatment,cxgn_plant_treatment
Change in weight after boiling computation percentage|month 9|boiling time 20 minutes,contains,boiling time 20 minutes,Plant treatment,cxgn_plant_treatment
Change in weight after boiling computation percentage|month 8|boiling time 20 minutes,contains,boiling time 20 minutes,Plant treatment,cxgn_plant_treatment
Change in weight after boiling computation percentage|month 11|boiling time 20 minutes,contains,boiling time 20 minutes,Plant treatment,cxgn_plant_treatment
